                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.46961,                0.40764,                0.87752,                0.76481,                      1,                  0.995,                0.93366,                0.41203,                0.39452,                0.80567,             0.00022274,             0.00022274,             0.00022274
                     76,                0.45335,                0.40169,                0.86049,                0.89593,                      1,                  0.995,                0.93429,                0.40742,                0.36161,                0.81265,              0.0002145,              0.0002145,              0.0002145
                     77,                0.44514,                0.38047,                0.86295,                 0.9254,                      1,                  0.995,                0.93846,                0.40962,                 0.3548,                0.81001,             0.00020625,             0.00020625,             0.00020625
                     78,                0.45456,                0.40065,                0.86039,                0.85957,                      1,                  0.995,                0.93873,                0.42666,                 0.3759,                0.81822,               0.000198,               0.000198,               0.000198
                     79,                0.44509,                0.39121,                0.85351,                0.95231,                0.83928,                  0.995,                0.91481,                0.45796,                0.48103,                0.82184,             0.00018976,             0.00018976,             0.00018976
                     80,                0.44249,                0.37943,                0.86951,                0.95794,                0.86061,                  0.995,                0.94167,                0.41808,                 0.4213,                0.81211,             0.00018151,             0.00018151,             0.00018151
                     81,                0.42379,                0.38422,                 0.8556,                0.96504,                0.84945,                  0.995,                0.94201,                0.41327,                0.36335,                0.81495,             0.00017326,             0.00017326,             0.00017326
                     82,                0.43643,                0.38068,                0.86097,                0.94189,                 0.8485,                  0.995,                 0.9262,                0.42438,                0.43255,                0.81818,             0.00016502,             0.00016502,             0.00016502
                     83,                0.42691,                0.38187,                0.86451,                0.94999,                0.86777,                  0.995,                0.93842,                0.43062,                0.42662,                0.81566,             0.00015677,             0.00015677,             0.00015677
                     84,                0.42805,                 0.3619,                0.86118,                0.93822,                  0.875,                  0.995,                 0.9228,                0.41171,                0.47716,                0.81317,             0.00014852,             0.00014852,             0.00014852
